,tweet,tokens
1740, you are a traitor ,['trait']
1741,   Oh yeah another cracking offering from       ,"['oh', 'yeah', 'anoth', 'crack', 'off']"
1742, THINK PROBELY I THINK SHE IS GETTING SOMETHING OUT OF IT   MAYBE MONEY,"['think', 'prob', 'think', 'get', 'someth', 'mayb', 'money']"
1743,  That s how immature she is not to mention no class at all O   Not even a dime,"['im', 'ment', 'class', 'ev', 'dim']"
1744, When you are playing inside you don t get beat inside  I agree not a major mistake   I m glad you found it because I was questioning my mind again ,"['play', 'insid', 'get', 'beat', 'insid', 'agr', 'maj', 'mistak', 'glad', 'found', 'quest', 'mind']"
1745,   Andy  you literally went on vacation right after making that pressing  announcement  You re a joke and this is why real conservatives are turning to Bernier ,"['andy', 'lit', 'went', 'vac', 'right', 'mak', 'press', 'annount', 'jok', 'real', 'conserv', 'turn', 'berny']"
1746,   Maybe the Trumpies will call for Gun Control after this ,"['mayb', 'trumpy', 'cal', 'gun', 'control']"
1747, The  metoo movement has turned out just the way black lives matter and Antifa turned out  Started out as a worthy cause and then ruined by a bunch of bandwagonists  More harm than good ,"['metoo', 'mov', 'turn', 'way', 'black', 'lif', 'mat', 'antif', 'turn', 'start', 'worthy', 'caus', 'ruin', 'bunch', 'bandwagon', 'harm', 'good']"
1748,             Yes we do  I been campaigning for this for years,"['ye', 'campaign', 'year']"
1749, No they are seeing how liberals are sleazballs and they are  WalkingAway,"['see', 'lib', 'sleazbal', 'walkingaway']"
1750,  Yep  Here she is defying us to take another picture  ,"['yep', 'defy', 'tak', 'anoth', 'pict']"
1751, That one sucks bc he is so hit or miss,"['on', 'suck', 'bc', 'hit', 'miss']"
1752,  DEMOCRATS HAVE ORDER THIS MANGINA TO SHUT UP  HE IS NOT LISTENING JUST KEEPS ON GOING ON AND ON IN HIS LITTLE MIND   HE IS LOYAL TO UNCLE SOROS   HIS SISTER MARRIED INTO THE FAMILY ,"['democr', 'ord', 'mangin', 'shut', 'list', 'keep', 'going', 'littl', 'mind', 'loy', 'unc', 'soro', 'sist', 'marry', 'famy']"
1753, Yoongi you are the father      ,"['yoong', 'fath']"
1754, Flat out clown    bottom  Line is that you re out and America is back    you were a sellout to the country    look in the mirror who the   year old  ,"['flat', 'clown', 'bottom', 'lin', 'americ', 'back', 'sellout', 'country', 'look', 'mir', 'year', 'old']"
1755, OH MY GOD,"['oh', 'god']"
1756, Figures  He is a douche and would do this ,"['fig', 'douch', 'would']"
1757,  He is such a showman  And those pipes  the man can SING,"['showm', 'pip', 'man', 'sing']"
1758,  How am I villifying him  He literally did have a   hour rant about imaginary bolsheviks and how women should just stop complaining  If you think that is no true wrong   then well  I got news for you buddy  it means you are as shitty as he is  ,"['vill', 'lit', 'hour', 'rant', 'imagin', 'bolshevik', 'wom', 'stop', 'complain', 'think', 'tru', 'wrong', 'wel', 'got', 'new', 'buddy', 'mean', 'shitty']"
1759,  A beast  She is certainly not attracted nor amused to do it with one      ,"['beast', 'certain', 'attract', 'amus', 'on']"
1760,   We could help if you are London based  ,"['could', 'help', 'london', 'bas']"
1761, remember when antifa was respectable and intimidating    me neither lmao,"['rememb', 'antif', 'respect', 'intimid', 'neith', 'lmao']"
1762, Hey Serena   don t do me any favors   Women can take care of themselves   Just hit your tennis balls and take care of your family ,"['hey', 'seren', 'fav', 'wom', 'tak', 'car', 'hit', 'ten', 'bal', 'tak', 'car', 'famy']"
1763,  people shot and killed in Bakersfield and the liberals want to tweet about Gun Control   Chicago calls   people shot and killed a lunch break yet nobody tweets a word   You can t have it both ways   Legal guns ownership vs illegal gun ownership  What s the real solution ,"['peopl', 'shot', 'kil', 'bakersfield', 'lib', 'want', 'tweet', 'gun', 'control', 'chicago', 'cal', 'peopl', 'shot', 'kil', 'lunch', 'break', 'yet', 'nobody', 'tweet', 'word', 'way', 'leg', 'gun', 'own', 'illeg', 'gun', 'own', 'real', 'solv']"
1764,Still canny get er somecunt in maga telling us no to go into bananas cos French boys were spiking folks drinks  amp  kerr turns round n shouts fuck it free dunt     ,"['stil', 'canny', 'get', 'er', 'somecunt', 'mag', 'tel', 'go', 'banan', 'co', 'french', 'boy', 'spik', 'folk', 'drink', 'amp', 'ker', 'turn', 'round', 'shout', 'fuck', 'fre', 'dunt']"
1765,  Revkin spreading IMPORTANT news                 Andy sees himself as an INTELLECTUAL    This is what us REAL LIBERALS r STUCK with from public figures  Then the FAUX LIBERALS like ANDY wonder why we REAL LIBERALS dont care anymore  ,"['revkin', 'spreading', 'import', 'new', 'andy', 'see', 'intellect', 'real', 'lib', 'stuck', 'publ', 'fig', 'faux', 'lib', 'lik', 'andy', 'wond', 'real', 'lib', 'dont', 'car', 'anym']"
1766,   I assuming that  is a proponent of gun control   The argument for gun control is the threat of being shot   She then goes on to accuse people who open or conceal carry of being scared of a hypothetical fear of being shot   It a hypocritical statement,"['assum', 'propon', 'gun', 'control', 'argu', 'gun', 'control', 'threat', 'shot', 'go', 'accus', 'peopl', 'op', 'cont', 'carry', 'scar', 'hypothet', 'fear', 'shot', 'hypocrit', 'stat']"
1767, Eric Holder should be in PRISON   ,"['er', 'hold', 'prison']"
1768,  says social housing is good and in the same breath talks of climbing the ladder    Hypocrisy incarnate from a failed lying politician lining her party pockets with tax money for real estate builders  building their failure of lies,"['say', 'soc', 'hous', 'good', 'brea', 'talk', 'climb', 'lad', 'hypocrisy', 'incarn', 'fail', 'lying', 'polit', 'lin', 'party', 'pocket', 'tax', 'money', 'real', 'est', 'build', 'build', 'fail', 'lie']"
1769,  needs to get over it  It s been   years since he hasn t played for the birds  Move on already  There is hardly anyone still on the team from when he played with the Birds  He is starting to sound bitter that he doesn t have a ring,"['nee', 'get', 'year', 'sint', 'play', 'bird', 'mov', 'already', 'hard', 'anyon', 'stil', 'team', 'play', 'bird', 'start', 'sound', 'bit', 'ring']"
1770,     Lab turned down the deal with LDs,"['lab', 'turn', 'deal', 'lds']"
1771,  The gauge potential is the connection on the quantum field as like in differential geometry  and the field strength  tensor is the curvature tensor ,"['gaug', 'pot', 'connect', 'quant', 'field', 'lik', 'diff', 'geometry', 'field', 'strength', 'tens', 'curv', 'tens']"
1772,   Antifa JV squad ,"['antif', 'jv', 'squad']"
1773,  He is also speaking as the other man in the room    Remember he kept silent and allowed kids to be sexually assaulted    we will call him the Mark Judge in this case ,"['also', 'speak', 'man', 'room', 'rememb', 'kept', 'sil', 'allow', 'kid', 'sex', 'assault', 'cal', 'mark', 'judg', 'cas']"
1774, Get Violent   Get   As if the  Occupy  BlackLivesMatter  BaltimoreRiots  Ferguson  Antifa were all Democrat VIOLENCE,"['get', 'viol', 'get', 'occupy', 'blacklivesmat', 'baltimoreriot', 'ferguson', 'antif', 'democr', 'viol']"
1775, When you said you are gonna add them but u didn t already    ,"['said', 'gon', 'na', 'ad', 'already']"
1776, He is so wonderful  I love my grandkids ,"['wond', 'lov', 'grandkid']"
1777,   He will blame it on the fact that he is Hispanic of course ,"['blam', 'fact', 'hisp', 'cours']"
1778,  Only if you want a murder charge  Stealing guns is already a felony  Shooting someone with their own gun is life in prison at best  There is just no way this ends well for whoever tries this  I honestly think this is a troll made by  chan to get stupid antifa members shot jailed ,"['want', 'murd', 'charg', 'ste', 'gun', 'already', 'felony', 'shoot', 'someon', 'gun', 'lif', 'prison', 'best', 'way', 'end', 'wel', 'whoev', 'try', 'honest', 'think', 'trol', 'mad', 'chan', 'get', 'stupid', 'antif', 'memb', 'shot', 'jail']"
1779,   If he is from AZ I would put my money on sex with underage kids ,"['az', 'would', 'put', 'money', 'sex', 'und', 'kid']"
1780,              Amy when Iook at you  think Child of God but also inspring young lady  You showed us that you can conquer  anything  and say I am stronger  than this  God is proud  of you and so am I  Mr  Heughan too  He said in an article what is the big fuss about himself you are the answer ,"['amy', 'iook', 'think', 'child', 'god', 'also', 'inspr', 'young', 'lady', 'show', 'conqu', 'anyth', 'say', 'stronger', 'god', 'proud', 'mr', 'heugh', 'said', 'artic', 'big', 'fuss', 'answ']"
1781,Dr  Blasey Ford Kavanaugh  MeToo      FemFrauds  MAGA  Maddow  MorningJoe  WednesdayWisdom ,"['dr', 'blasey', 'ford', 'kavanaugh', 'metoo', 'femfraud', 'mag', 'maddow', 'morningjo', 'wednesdaywisdom']"
1782,   You are neither authority nor arbiter  Have a seat ,"['neith', 'auth', 'arbit', 'seat']"
1783,  I ll go to the original argument that people should blanket everyone together    Terrorists   all Muslims  Alt Right   all conservatives  Both of these are equally dumb  Requiring specific groups to denounce their fringes means that the general populace ca differentiate ,"['go', 'origin', 'argu', 'peopl', 'blanket', 'everyon', 'togeth', 'ter', 'muslim', 'alt', 'right', 'conserv', 'eq', 'dumb', 'requir', 'spec', 'group', 'denount', 'fring', 'mean', 'gen', 'populac', 'ca', 'differenty']"
1784, you are so wonderful Elizabeth   kisses from Italy    ,"['wond', 'elizabe', 'kiss', 'ita']"
1785, He will get what he deserves in the Mens prison        ,"['get', 'deserv', 'men', 'prison']"
1786,  Of course never cover conservatives,"['cours', 'nev', 'cov', 'conserv']"
1787, I know there are parents among my mutuals followers and lots of you are GREAT  But I ve had to deal with a lot who are laser focused on an outdated idea of what early childhood education should be ,"['know', 'par', 'among', 'mut', 'follow', 'lot', 'gre', 'deal', 'lot', 'las', 'focus', 'outd', 'ide', 'ear', 'child', 'educ']"
1788,   Be there with Bells on      ,['bel']
1789,  She is known to be sneaky ,"['known', 'sneaky']"
1790,    So you are ok with the racial epithats that the left calls black conservatives   bigotry  hypocrisy  walkaway I did  Many have  Dont be blind  You are being a tool for a establishment  Keep resisting the outsider and be for the political elite millionaires ,"['ok', 'rac', 'epith', 'left', 'cal', 'black', 'conserv', 'bigotry', 'hypocrisy', 'walkaway', 'many', 'dont', 'blind', 'tool', 'est', 'keep', 'resist', 'outsid', 'polit', 'elit', 'millionair']"
1791,  I want to prove to him how actually retarded he is,"['want', 'prov', 'act', 'retard']"
1792,  guys im literally italian and i know what that shit is wtf,"['guy', 'im', 'lit', 'it', 'know', 'shit', 'wtf']"
1793, i m weak      Shit must have been really painful   ,"['weak', 'shit', 'must', 'real', 'pain']"
1794, Blaming Trump for the hurricane is showing his ignorance and hate  if only he were to give his salary to their recovery maybe then he can help,"['blam', 'trump', 'hur', 'show', 'ign', 'hat', 'giv', 'sal', 'recovery', 'mayb', 'help']"
1795,  It not just Conservatives  Centrists are discouraged with his approach to dealing with trump  USA is our biggest friend protector and  trade partner  Open the markets consumers here will benefit,"['conserv', 'cent', 'disco', 'approach', 'deal', 'trump', 'us', 'biggest', 'friend', 'protect', 'trad', 'partn', 'op', 'market', 'consum', 'benefit']"
1796, You are now a prince before the time that you will become the King  ,"['print', 'tim', 'becom', 'king']"
1797, Hope the tiny anti American fraction of the USA can support those nfl contracts ,"['hop', 'tiny', 'ant', 'am', 'fract', 'us', 'support', 'nfl', 'contract']"
1798, Bring back Alex     Jack    or Ban NYT too   ,"['bring', 'back', 'alex', 'jack', 'ban', 'nyt']"
1799,Antifa Caught Off Guard After Getting Confronted By The Last Person They Ever Wanted To Answer Too ,"['antif', 'caught', 'guard', 'get', 'confront', 'last', 'person', 'ev', 'want', 'answ']"
1800, He is the AL but If were talking entire MLB I will still take Arenado all day defensively over Chapman ,"['al', 'talk', 'entir', 'mlb', 'stil', 'tak', 'arenado', 'day', 'defend', 'chapm']"
1801,  Thank you President Trump  ALL of America is benefiting for todays  economy too  And most importantly  President Trump gets ALL the credit     MAGA ,"['thank', 'presid', 'trump', 'americ', 'benefit', 'today', 'econom', 'import', 'presid', 'trump', 'get', 'credit', 'mag']"
1802, Shit like this is why I do follow   Who me  I just stating basic facts   Totally NOT diverting from the actual point  Just stating a fact    You re a phony ,"['shit', 'lik', 'follow', 'stat', 'bas', 'fact', 'tot', 'divert', 'act', 'point', 'stat', 'fact', 'phony']"
1803, PATHETIC  LOSER Only Utah would allow this   happen   WakeUpAMERICA Utah SLC judges liberals     So sorry  ElizabethSmart   ,"['pathet', 'los', 'utah', 'would', 'allow', 'hap', 'wakeupameric', 'utah', 'slc', 'judg', 'lib', 'sorry', 'elizabethsmart']"
1804, is the brainchild of    He is playing dirty against  and Jen is using her ill gotten money against  Mailer linking Nixon to anti Semitism was approved by top Cuomo aides ,"['brainchild', 'play', 'dirty', 'jen', 'us', 'il', 'got', 'money', 'mail', 'link', 'nixon', 'ant', 'semit', 'approv', 'top', 'cuomo', 'aid']"
1805, Go back to Canada,"['go', 'back', 'canad']"
1806, He looks just like Fred with a moustache  HA HA,"['look', 'lik', 'fred', 'moustach', 'ha', 'ha']"
1807,   Please stick to Bakersfield issues and resign from House Leadership  You are illiterate in economics and the Constitution and take too many bribes   NoSpeakerMcCarthy I m for ,"['pleas', 'stick', 'bakersfield', 'issu', 'resign', 'hous', 'lead', 'illit', 'econom', 'constitut', 'tak', 'many', 'brib', 'nospeakermccarthy']"
1808, Privat just means between B XVI and the Cardinal  Agree though he should not be out and about  Should be in seclusion for the  prayer nd meditation  and only private mass  Nuncio was making molehill into mountain for the Old Guard of conservatives to oust Francis ,"['priv', 'mean', 'xvi', 'cardin', 'agr', 'though', 'seclud', 'pray', 'nd', 'medit', 'priv', 'mass', 'nuncio', 'mak', 'molehil', 'mountain', 'old', 'guard', 'conserv', 'oust', 'frant']"
1809, Maybe the reason you are gaining so many subs is because you are a hard working awesome YouTuber  D,"['mayb', 'reason', 'gain', 'many', 'sub', 'hard', 'work', 'awesom', 'youtub']"
1810,  I thought the red hat was a MAGA hat until I saw the maple leaf ,"['thought', 'red', 'hat', 'mag', 'hat', 'saw', 'mapl', 'leaf']"
1811,   Agree Liberals will not have a majority but you will see People Party of Canada in the running your little c party will be lower in the ranks the the NDP ,"['agr', 'lib', 'maj', 'see', 'peopl', 'party', 'canad', 'run', 'littl', 'party', 'low', 'rank', 'ndp']"
1812, He is right though    you do have a whiff,"['right', 'though', 'whiff']"
1813,  Several of the western liberals are not too happy with national focus of Saudi ,"['sev', 'western', 'lib', 'happy', 'nat', 'foc', 'saud']"
1814,  you are the worst attorney general ever however you had that in common with Barry Soweto is him being the worst president ever so why do you just go crawl under the rock with him,"['worst', 'attorney', 'gen', 'ev', 'howev', 'common', 'barry', 'soweto', 'worst', 'presid', 'ev', 'go', 'crawl', 'rock']"
1815,    Actually per the rules it doesn t matter if she even saw the coaches attempts to coach her   she is to receive a warning based on the coaches actions   It would have stopped at just a warning but as you saw she couldn t let it go ,"['act', 'per', 'rul', 'mat', 'ev', 'saw', 'coach', 'attempt', 'coach', 'receiv', 'warn', 'bas', 'coach', 'act', 'would', 'stop', 'warn', 'saw', 'let', 'go']"
1816, He is back baby  Lol,"['back', 'baby', 'lol']"
1817,  Wasn t this clown running guns ,"['clown', 'run', 'gun']"
1818,  thank you for the consideration     be careful it might be you     ,"['thank', 'consid', 'car', 'might']"
1819,   She is   Have you seen her tweets lately  ,"['seen', 'tweet', 'lat']"
1820, Stop trying  to make Brandon what he is not and run him  Put in some trip option and sprint option stuff  RUN HIM   Do some play action out of the option formations  Bring in Book for at least four series ,"['stop', 'try', 'mak', 'brandon', 'run', 'put', 'trip', 'opt', 'sprint', 'opt', 'stuff', 'run', 'play', 'act', 'opt', 'form', 'bring', 'book', 'least', 'four', 'sery']"
1821,  Yes  That s how the liberals do ,"['ye', 'lib']"
1822,   I absolutely agree   I have tried rallying people on Twitter  Asking them to follow each other  Strength in numbers  I vote  I work the polls for early election and Election Day  I speak with liberals  I forwarded Maxine Walters rants to the secret service ,"['absolv', 'agr', 'tri', 'ral', 'peopl', 'twit', 'ask', 'follow', 'strength', 'numb', 'vot', 'work', 'pol', 'ear', 'elect', 'elect', 'day', 'speak', 'lib', 'forward', 'maxin', 'walt', 'rant', 'secret', 'serv']"
1823, Finally  No more terrible takes of The NFL owners are racist  ,"['fin', 'terr', 'tak', 'nfl', 'own', 'rac']"
1824, MAGA DEEP STATE VIDEO EXPOSED  ,"['mag', 'deep', 'stat', 'video', 'expos']"
1825, I always strike lawyers  I served on a jury  civil  and the jury wanted me to decide the case and kept asking me to explain jury instructions  My take away is that the lawyer may hold too much sway in deliberations  But if he or she is on your side     ,"['alway', 'strike', 'lawy', 'serv', 'jury', 'civil', 'jury', 'want', 'decid', 'cas', 'kept', 'ask', 'explain', 'jury', 'instruct', 'tak', 'away', 'lawy', 'may', 'hold', 'much', 'sway', 'delib', 'sid']"
1826, I have to go over Saturday to  have dinner  no it s the annual close the pool for the season   Not then big ass round above grounds   They have a huge in ground pool   I know that s coming   While gore here   And I don t mind at all   Lol funny Shit,"['go', 'saturday', 'din', 'an', 'clos', 'pool', 'season', 'big', 'as', 'round', 'ground', 'hug', 'ground', 'pool', 'know', 'com', 'gor', 'mind', 'lol', 'funny', 'shit']"
1827,    We are not a democratic republic  We have never been a Democratic anything  We have never had Democratic ideology  Nor is this a  new  talking point  We are constantly correcting Democrats liberals on this ,"['democr', 'republ', 'nev', 'democr', 'anyth', 'nev', 'democr', 'ideolog', 'new', 'talk', 'point', 'const', 'correct', 'democr', 'lib']"
1828,  You were on the same stage as Farrakhan  You total hypocrite  You are pathetic ,"['stag', 'farrakh', 'tot', 'hypocrit', 'pathet']"
1829, By citizens he means democrat voters   ,"['cit', 'mean', 'democr', 'vot']"
1830, How dare you tell me what Antifa is doing is right  They are not fighting facism they are fighting for their own stupid cause  They are further from fixing facism than the republicans themselves,"['dar', 'tel', 'antif', 'right', 'fight', 'fac', 'fight', 'stupid', 'caus', 'fix', 'fac', 'republ']"
1831,      Or do they say  He is possessed   Nay  he has brought them the Truth  but most of them hate the Truth  ,"['say', 'possess', 'nay', 'brought', 'tru', 'hat', 'tru']"
1832, O Rourke tell us Texas citizens how you feel about law enforcement officers       Tell us about your immigration plan  Tell us about your gun control plans  Tell us about your tax plans  If you can t tell us what your views are you can t be Senator ,"['rourk', 'tel', 'texa', 'cit', 'feel', 'law', 'enforc', 'off', 'tel', 'immigr', 'plan', 'tel', 'gun', 'control', 'plan', 'tel', 'tax', 'plan', 'tel', 'view', 'sen']"
1833,  An accusation is not enough  We are fortunate to live in a country where you are innocent UNTIL proven guilty ,"['accus', 'enough', 'fortun', 'liv', 'country', 'innoc', 'prov', 'guil']"
1834, I had to look up who he was  A Bush Cheney guy  GOP have some strange conservatives ,"['look', 'bush', 'cheney', 'guy', 'gop', 'strange', 'conserv']"
1835, by which point the fuckingclass was nearly over    lol ,"['point', 'fuckingclass', 'near', 'lol']"
1836, Coming from a former AG who should be charged with conspiracy to commit murder in the Fast  amp  Furious scandal  One of the many scandals committed within the Obama Administration ,"['com', 'form', 'ag', 'charg', 'conspir', 'commit', 'murd', 'fast', 'amp', 'fury', 'scand', 'on', 'many', 'scand', 'commit', 'within', 'obam', 'admin']"
1837, How about we rally behind a blue wave and parse policy after  The country is in danger  You are not helping  You re speaking from a place of  WhitePrivilege STOP,"['ral', 'behind', 'blu', 'wav', 'pars', 'policy', 'country', 'dang', 'help', 'speak', 'plac', 'whiteprivileg', 'stop']"
1838,   presumably you think liberals   are as trivial as women and their complaining  You wonder why Dr  Ford does not want to surrender herself to such a harrowing experience before you all        ,"['presum', 'think', 'lib', 'triv', 'wom', 'complain', 'wond', 'dr', 'ford', 'want', 'surrend', 'harrow', 'expery']"
1839,  and they will know she is the Lord,"['know', 'lord']"
1840, Looks at this  Wow  Our hard earned money  used for the liberals extravagant lifestyle  Doesn t that remind you of the typical socialist government  ,"['look', 'wow', 'hard', 'earn', 'money', 'us', 'lib', 'extrav', 'lifestyl', 'remind', 'typ', 'soc', 'govern']"
1841, The comments below  defending Drug Ford blatant abuse of power is completely laughable   But  but the Liberals   Bias  BIAS I tell you     Must be only the NDP rich downtown area that was polled    Ho man    thanks guys    I needed a good laugh      ,"['com', 'defend', 'drug', 'ford', 'blat', 'abus', 'pow', 'complet', 'laugh', 'lib', 'bia', 'bia', 'tel', 'must', 'ndp', 'rich', 'downtown', 'are', 'pol', 'ho', 'man', 'thank', 'guy', 'nee', 'good', 'laugh']"
1842, It just turns by itself into the wall,"['turn', 'wal']"
1843,    Yes he is   StopKavanaughNow,"['ye', 'stopkavanaughnow']"
1844, Sure thing ,"['sur', 'thing']"
1845, Nothing LEAVE,"['noth', 'leav']"
1846,    Voting for her as well  Democrat I assume ,"['vot', 'wel', 'democr', 'assum']"
1847,  like     uwu for the Troops  Show your American flag and weeabo pride   MAGA uwu,"['lik', 'uwu', 'troop', 'show', 'am', 'flag', 'weeabo', 'prid', 'mag', 'uwu']"
1848,   oh    she looks amazing thank u    ,"['oh', 'look', 'amaz', 'thank']"
1849, David Dennison might know where he is ,"['david', 'dennison', 'might', 'know']"
1850,    Extremistische Idee,"['extremistisch', 'id']"
1851,  Guess that why she settled for being the gag inducing spokesperson of the commercialized conservatives ,"['guess', 'settl', 'gag', 'induc', 'spokesperson', 'commerc', 'conserv']"
1852,   He is a big lump of   I agree     ,"['big', 'lump', 'agr']"
1853, Wasnt it just recently that john brown gun club got kicked out of a shooting range for being antifa   ,"['wasnt', 'rec', 'john', 'brown', 'gun', 'club', 'got', 'kick', 'shoot', 'rang', 'antif']"
1854,  The timing is too convenient  She is a paid liar ,"['tim', 'conveny', 'paid', 'liar']"
1855, st thing Liberals and Conservatives want to pass is the TPP trade deal  via   cdnpoli  tpp  nafta,"['st', 'thing', 'lib', 'conserv', 'want', 'pas', 'tpp', 'trad', 'deal', 'via', 'cdnpoli', 'tpp', 'naft']"
1856,  Everybody doin it    MAGA,"['everybody', 'doin', 'mag']"
1857,                                          Yes kill em with kindness   Let POTUS and the military LEOs handle the violence    NowWatching,"['ye', 'kil', 'em', 'kind', 'let', 'pot', 'milit', 'leo', 'handl', 'viol', 'nowwatch']"
1858, Uhhh no   Sadam gassed the shit out of the Kurds  sp  ,"['uhhh', 'sadam', 'gass', 'shit', 'kurd', 'sp']"
1859, The truth will finally get out to Congress and the American people   That the Dems are trying to take out a duly elected President   They re running scared   schiffhead  MAGA,"['tru', 'fin', 'get', 'congress', 'am', 'peopl', 'dem', 'try', 'tak', 'duly', 'elect', 'presid', 'run', 'scar', 'schiffhead', 'mag']"
1860,          No  I      sure you re watching right wingers posting things only  And think you see discrepancies in narratives    What I posted was  approved antifa video  at all  There no such organization  What it was was a popular Youtuber examing what Antifa is without any bias  ,"['sur', 'watch', 'right', 'wing', 'post', 'thing', 'think', 'see', 'discrep', 'nar', 'post', 'approv', 'antif', 'video', 'org', 'popul', 'youtub', 'exam', 'antif', 'without', 'bia']"
1861, As usual a seemingly and supposed smart feminist thinks she has made sense   Yen yen yen yen yen yen alone    You just told me rn you are also dealing with another person   Have you considered maybe you are the toxic one ,"['us', 'seem', 'suppos', 'smart', 'femin', 'think', 'mad', 'sens', 'yen', 'yen', 'yen', 'yen', 'yen', 'yen', 'alon', 'told', 'rn', 'also', 'deal', 'anoth', 'person', 'consid', 'mayb', 'tox', 'on']"
1862, Never had  Let fuck it up ,"['nev', 'let', 'fuck']"
1863, I was definitely drunk as shit,"['definit', 'drunk', 'shit']"
1864,   You mean cheating allegations  Not sexual harassment or assault it was about CHEATING  BIG difference  We all know facts scare liberals  If you are so concerned about sexual assaults you need to shout for the names on the slush funds to be revealed  Until than have a seat,"['mean', 'che', 'alleg', 'sex', 'harass', 'assault', 'che', 'big', 'diff', 'know', 'fact', 'scar', 'lib', 'concern', 'sex', 'assault', 'nee', 'shout', 'nam', 'slush', 'fund', 'rev', 'seat']"
1865, Had to create a whole fake page just to talk  shit    sis is really just miserable  sad,"['cre', 'whol', 'fak', 'pag', 'talk', 'shit', 'si', 'real', 'mis', 'sad']"
1866, I would chose the headline Why the left loves Bernier  Personally I could not be more delighted The most important thing in any election is to prevent conservatives from gaining power Just look at Ontario  for proof ,"['would', 'chos', 'headlin', 'left', 'lov', 'berny', 'person', 'could', 'delight', 'import', 'thing', 'elect', 'prev', 'conserv', 'gain', 'pow', 'look', 'ontario', 'proof']"
1867,   And  of course  you exclude all but a select group of  primarily Northwestern  European and a few Asian countries from your any country  list  Gun control has no positive correlation with lower homicide rates  even within cherry picked Euro countries  ,"['cours', 'exclud', 'select', 'group', 'prim', 'northwestern', 'europ', 'as', 'country', 'country', 'list', 'gun', 'control', 'posit', 'correl', 'low', 'homicid', 'rat', 'ev', 'within', 'cherry', 'pick', 'euro', 'country']"
1868, He wo live long now,"['wo', 'liv', 'long']"
1869,    We are so proud of  and the creativity she has brought to our students  She is truly an asset ,"['proud', 'cre', 'brought', 'stud', 'tru', 'asset']"
1870,  Liberals are the worst sexists   Not all women speak truth especially political activists   Try judging the veracity of the allegation by evidence instead of gender ,"['lib', 'worst', 'sex', 'wom', 'speak', 'tru', 'espec', 'polit', 'act', 'try', 'judg', 'verac', 'alleg', 'evid', 'instead', 'gend']"
1871,  Ah yes just get a better job  You realize the majority of new job growth is in service industry  And with how expensive student loans are college is less and less realistic for people ,"['ah', 'ye', 'get', 'bet', 'job', 'real', 'maj', 'new', 'job', 'grow', 'serv', 'industry', 'expend', 'stud', 'loan', 'colleg', 'le', 'le', 'real', 'peopl']"
1872,    LMAO  You are still butt hurt that your loser Hitlary lost  Love it  See you at the polls in      Bucky ,"['lmao', 'stil', 'but', 'hurt', 'los', 'hitl', 'lost', 'lov', 'see', 'pol', 'bucky']"
1873, Mueller  DOJ  FBI  CIA  LawEnforcement  PoliceState   Proof all law enforcement are paramilitary goons for the communist leftwing  DNC  amp  will do anything to solidify their grip on power    Conservatives should seriously question their support of police   ,"['muel', 'doj', 'fbi', 'cia', 'lawenforc', 'policest', 'proof', 'law', 'enforc', 'paramilit', 'goon', 'commun', 'leftw', 'dnc', 'amp', 'anyth', 'solid', 'grip', 'pow', 'conserv', 'sery', 'quest', 'support', 'pol']"
1874, Cmon Eddie  There is no reason at all for you to be so rude  If I recall you are always begging for her back when you guys stop talking  Stop trying to make it seem like she s a horrible person and you re this amazing guy   lmfao,"['cmon', 'eddy', 'reason', 'rud', 'recal', 'alway', 'beg', 'back', 'guy', 'stop', 'talk', 'stop', 'try', 'mak', 'seem', 'lik', 'horr', 'person', 'amaz', 'guy', 'lmfao']"
1875, Holy freakin cow this is actually real from Antifa  Now we really know they are stupid  Great way to get shot or hurt ,"['holy', 'freakin', 'cow', 'act', 'real', 'antif', 'real', 'know', 'stupid', 'gre', 'way', 'get', 'shot', 'hurt']"
1876,   The conservatives are finding this pill very hard to swallow ,"['conserv', 'find', 'pil', 'hard', 'swallow']"
1877, Keep doing your thing  I m just sitting back enjoying ,"['keep', 'thing', 'sit', 'back', 'enjoy']"
1878,    Theresa May isn t nice,"['theres', 'may', 'nic']"
1879,  Conservatives only care about democracy when it their opinions and so called racist rights are in jeopardy  Anyone else they do give a shit about  It sad ,"['conserv', 'car', 'democr', 'opin', 'cal', 'rac', 'right', 'jeopardy', 'anyon', 'els', 'giv', 'shit', 'sad']"
1880, Please Confirm Kavanagh ASAP  He is a fine choice  Do let the liberals derail his nomination to the SCOTUS ,"['pleas', 'confirm', 'kavanagh', 'asap', 'fin', 'cho', 'let', 'lib', 'derail', 'nomin', 'scot']"
1881, Holy fuck I m so sorry someone violated your trust like that,"['holy', 'fuck', 'sorry', 'someon', 'viol', 'trust', 'lik']"
1882,  Look at us we are just so full of ourselves an so narcissistic we ca realize our time is just about up  ,"['look', 'ful', 'narcissist', 'ca', 'real', 'tim']"
1883,    His promises should be taken with a pinch of salt   often lies and spreads misinformation  If elected I doubt you would see ANY promise honored  He is not an honorable Guy ,"['prom', 'tak', 'pinch', 'salt', 'oft', 'lie', 'spread', 'misinform', 'elect', 'doubt', 'would', 'see', 'prom', 'hon', 'hon', 'guy']"
